,Age,Attrition,Department,EducationField,Gender,EmployeeCount,YearsAtCompany,JobRole,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
0,51,No,Sales,Life Sciences,Female,1,1,Healthcare Representative,3.0,4.0,2.0,3,3
1,31,Yes,Research & Development,Life Sciences,Female,1,5,Research Scientist,3.0,2.0,4.0,2,4
2,32,No,Research & Development,Other,Male,1,5,Sales Executive,2.0,2.0,1.0,3,3
3,38,No,Research & Development,Life Sciences,Male,1,8,Human Resources,4.0,4.0,3.0,2,3
4,32,No,Research & Development,Medical,Male,1,6,Sales Executive,4.0,1.0,3.0,3,3
5,46,No,Research & Development,Life Sciences,Female,1,7,Research Director,3.0,2.0,2.0,3,3
6,28,Yes,Research & Development,Medical,Male,1,0,Sales Executive,1.0,3.0,1.0,3,4
7,29,No,Research & Development,Life Sciences,Male,1,0,Sales Executive,1.0,2.0,3.0,3,4
8,31,No,Research & Development,Life Sciences,Male,1,9,Laboratory Technician,2.0,4.0,3.0,3,4
9,25,No,Research & Development,Medical,Female,1,6,Laboratory Technician,2.0,1.0,3.0,3,3
10,45,No,Research & Development,Medical,Male,1,20,Laboratory Technician,3.0,4.0,3.0,2,3
11,36,No,Research & Development,Life Sciences,Male,1,15,Laboratory Technician,0.0,4.0,3.0,3,3
12,55,No,Research & Development,Life Sciences,Female,1,36,Sales Executive,4.0,1.0,3.0,3,3
13,47,Yes,Research & Development,Medical,Male,1,10,Research Scientist,1.0,2.0,2.0,2,3
14,28,No,Research & Development,Life Sciences,Male,1,5,Manufacturing Director,4.0,4.0,2.0,3,3
15,37,No,Research & Development,Life Sciences,Male,1,5,Healthcare Representative,3.0,4.0,4.0,3,3
16,21,No,Research & Development,Life Sciences,Male,1,3,Laboratory Technician,4.0,3.0,4.0,2,3
17,37,No,Research & Development,Medical,Male,1,5,Sales Executive,1.0,4.0,3.0,3,3
18,35,No,Sales,Life Sciences,Male,1,7,Sales Representative,2.0,2.0,2.0,2,3
19,38,No,Research & Development,Life Sciences,Female,1,8,Manager,1.0,1.0,3.0,3,3
20,26,No,Research & Development,Other,Male,1,6,Laboratory Technician,3.0,2.0,1.0,3,3
21,50,No,Sales,Life Sciences,Male,1,10,Research Scientist,1.0,2.0,2.0,2,4
22,53,No,Research & Development,Life Sciences,Female,1,5,Research Scientist,3.0,3.0,2.0,3,3
23,42,No,Research & Development,Life Sciences,Male,1,20,Manufacturing Director,2.0,3.0,3.0,1,3
24,29,No,Research & Development,Medical,Male,1,10,Laboratory Technician,2.0,4.0,2.0,3,3
25,55,No,Research & Development,Other,Female,1,10,Research Scientist,2.0,4.0,3.0,3,3
26,26,No,Research & Development,Life Sciences,Female,1,5,Manager,1.0,1.0,3.0,3,4
27,37,No,Sales,Marketing,Male,1,17,Research Scientist,4.0,4.0,3.0,3,3
28,44,Yes,Research & Development,Medical,Male,1,1,Research Scientist,4.0,3.0,1.0,2,3
29,38,No,Sales,Marketing,Female,1,2,Manager,4.0,4.0,3.0,2,3
30,26,Yes,Research & Development,Medical,Male,1,3,Research Scientist,1.0,2.0,3.0,2,3
31,28,No,Research & Development,Other,Male,1,5,Human Resources,4.0,4.0,3.0,2,3
32,49,No,Research & Development,Medical,Female,1,3,Research Scientist,3.0,1.0,3.0,3,3
33,36,No,Sales,Technical Degree,Male,1,8,Sales Executive,3.0,2.0,3.0,3,3
34,31,No,Research & Development,Medical,Male,1,2,Sales Executive,4.0,2.0,2.0,3,3
35,26,Yes,Research & Development,Medical,Male,1,8,Manager,4.0,4.0,3.0,3,3
36,37,No,Sales,Marketing,Male,1,4,Laboratory Technician,2.0,4.0,2.0,3,3
37,42,No,Sales,Marketing,Male,1,20,Research Director,3.0,2.0,4.0,3,3
38,18,Yes,Research & Development,Life Sciences,Male,1,0,Sales Executive,3.0,3.0,3.0,2,3
39,35,No,Sales,Life Sciences,Male,1,11,Laboratory Technician,3.0,2.0,2.0,2,3
40,36,No,Research & Development,Other,Female,1,1,Sales Executive,3.0,0.0,3.0,2,3
41,51,No,Research & Development,Life Sciences,Male,1,4,Laboratory Technician,4.0,2.0,3.0,2,3
42,41,No,Research & Development,Life Sciences,Male,1,22,Laboratory Technician,4.0,2.0,3.0,3,3
43,18,No,Sales,Life Sciences,Male,1,0,Research Scientist,4.0,3.0,3.0,3,3
44,28,No,Research & Development,Medical,Male,1,8,Sales Representative,2.0,1.0,3.0,2,4
45,31,No,Research & Development,Technical Degree,Male,1,8,Manufacturing Director,2.0,4.0,2.0,3,3
46,39,No,Sales,Marketing,Female,1,18,Human Resources,3.0,4.0,2.0,3,4
47,36,No,Research & Development,Life Sciences,Male,1,9,Sales Executive,2.0,2.0,3.0,3,4
48,32,No,Sales,Marketing,Male,1,13,Laboratory Technician,4.0,3.0,2.0,3,4
49,38,No,Research & Development,Life Sciences,Female,1,10,Research Scientist,1.0,2.0,3.0,2,3
50,58,No,Research & Development,Life Sciences,Male,1,5,Manufacturing Director,4.0,3.0,3.0,2,3
51,31,No,Research & Development,Technical Degree,Female,1,5,Research Scientist,3.0,4.0,3.0,2,3
52,31,No,Sales,Marketing,Male,1,2,Sales Executive,1.0,1.0,3.0,3,4
53,45,No,Research & Development,Medical,Female,1,24,Sales Executive,1.0,1.0,3.0,3,3
54,31,No,Sales,Marketing,Female,1,2,Research Scientist,3.0,4.0,1.0,3,3
55,33,No,Research & Development,Life Sciences,Male,1,10,Research Director,4.0,2.0,3.0,3,3
56,39,No,Sales,Life Sciences,Male,1,21,Sales Executive,3.0,1.0,3.0,3,4
57,43,No,Research & Development,Medical,Male,1,8,Research Scientist,3.0,4.0,3.0,3,3
58,49,No,Research & Development,Life Sciences,Male,1,7,Manufacturing Director,3.0,3.0,3.0,3,4
59,52,Yes,Research & Development,Life Sciences,Female,1,8,Research Scientist,3.0,2.0,2.0,3,3
60,27,No,Research & Development,Medical,Male,1,4,Research Scientist,3.0,2.0,2.0,3,4
61,32,No,Research & Development,Life Sciences,Male,1,13,Research Scientist,3.0,2.0,3.0,4,3
62,27,No,Research & Development,Medical,Female,1,5,Research Director,4.0,3.0,3.0,4,3
63,31,No,Sales,Life Sciences,Male,1,7,Healthcare Representative,4.0,4.0,3.0,4,3
64,32,No,Research & Development,Technical Degree,Male,1,7,Healthcare Representative,1.0,4.0,2.0,3,3
65,28,Yes,Research & Development,Medical,Male,1,3,Sales Executive,1.0,4.0,2.0,2,3
66,30,No,Research & Development,Life Sciences,Female,1,10,Research Director,4.0,4.0,3.0,3,3
67,31,No,Research & Development,Life Sciences,Female,1,10,Manager,3.0,3.0,3.0,2,3
68,39,No,Research & Development,Medical,Female,1,21,Research Scientist,3.0,4.0,3.0,3,3
69,39,Yes,Research & Development,Medical,Female,1,1,Laboratory Technician,4.0,3.0,2.0,3,3
